(1, 'html', 'code', '45 min')
(2, 'html', 'code', '50 min')
(3, 'javascript', 'code', '50 min')
(4, 'javascript', 'code', '55 min')
(5, 'html', 'code', '60 min')
(6, 'javascript', 'code', '45 min')
(7, 'javascript', 'code', '50 min')
(8, 'javascript', 'code', '55 min')
(9, 'javascript', 'code', '55 min')
(10, 'python', 'code', '60 min')
(11, 'python', 'code', '50 min')
(12, 'python', 'code', '50 min')
(13, 'python', 'code', '55 min')
(14, 'python', 'code', '50 min')
(15, 'javascript', 'project', '90 min')
(16, 'python', 'project', '90 min')
(17, 'python', 'code', '55 min')
(18, 'python', 'code', '50 min')
(19, 'python', 'code', '55 min')
(20, 'python', 'project', '90 min')
(21, 'javascript', 'code', '55 min')
(22, 'javascript', 'code', '55 min')
(23, 'python', 'code', '60 min')
(24, 'python', 'code', '55 min')
(25, 'python', 'code', '60 min')
(26, 'python', 'code', '55 min')
(27, 'html', 'code', '50 min')
(28, 'javascript', 'project', '120 min')
(29, 'html', 'code', '50 min')
(30, 'html', 'code', '45 min')
